VALUE,EVT_Name,LFRDB,EVT_Fuel,EVT_Fuel_N,EVT_LF,EVT_GP,EVT_PHYS,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,r,g,b,Red,Green,Blue
9652,North American Warm Desert Riparian Mesquite Bosque Shrubland,9152,2155,Tr North American Warm Desert Riparian Systems,Shrub,635,Riparian,Western Riparian Woodland and Shrubland,SRM 203: Riparian Woodland,Tree-dominated,Open tree canopy,Deciduous open tree canopy,81,180,141,0.31764700000,0.70588200000,0.55294100000
9152,North American Warm Desert Riparian Mesquite Bosque Woodland,9152,2155,Tr North American Warm Desert Riparian Systems,Tree,635,Riparian,Western Riparian Woodland and Shrubland,SRM 203: Riparian Woodland,Tree-dominated,Open tree canopy,Deciduous open tree canopy,81,180,141,0.31764700000,0.70588200000,0.55294100000
9534,North American Warm Desert Riparian Shrubland,9034,2155,Tr North American Warm Desert Riparian Systems,Shrub,635,Riparian,Western Riparian Woodland and Shrubland,SRM 203: Riparian Woodland,Tree-dominated,Open tree canopy,Deciduous open tree canopy,81,180,141,0.31764700000,0.70588200000,0.55294100000
9034,North American Warm Desert Riparian Woodland,9034,2155,Tr North American Warm Desert Riparian Systems,Tree,635,Riparian,Western Riparian Woodland and Shrubland,SRM 203: Riparian Woodland,Tree-dominated,Open tree canopy,Deciduous open tree canopy,81,180,141,0.31764700000,0.70588200000,0.55294100000
9654,North American Warm Desert Wash Shrubland,9154,2155,Tr North American Warm Desert Riparian Systems,Shrub,635,Riparian,Western Riparian Woodland and Shrubland,SRM 203: Riparian Woodland,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous shrubland,81,180,141,0.31764700000,0.70588200000,0.55294100000
9154,North American Warm Desert Wash Woodland,9154,2155,Tr North American Warm Desert Riparian Systems,Tree,635,Riparian,Western Riparian Woodland and Shrubland,SRM 203: Riparian Woodland,Tree-dominated,Open tree canopy,Deciduous open tree canopy,81,180,141,0.31764700000,0.70588200000,0.55294100000
7156,North Pacific Lowland Riparian Forest,7156,2156,Tr North Pacific Lowland Riparian Forest and Shrubland,Tree,632,Riparian,Red Alder Forest and Woodland,SAF 222: Black Cottonwood-Willow,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,67,162,181,0.26274500000,0.63529400000,0.70980400000
7157,North Pacific Lowland Riparian Shrubland,7156,2156,Tr North Pacific Lowland Riparian Forest and Shrubland,Shrub,632,Riparian,Red Alder Forest and Woodland,SAF 222: Black Cottonwood-Willow,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,67,162,181,0.26274500000,0.63529400000,0.70980400000
9165,North Pacific Hardwood-Conifer Swamp,9165,2157,Tr North Pacific Swamp Systems,Tree,645,Riparian,Western Red-cedar-Western Hemlock Forest,SAF 222: Black Cottonwood-Willow,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,67,162,181,0.26274500000,0.63529400000,0.70980400000
7159,North Pacific Montane Riparian Shrubland,7158,2158,Tr North Pacific Montane Riparian Woodland and Shrubland,Shrub,635,Riparian,Western Riparian Woodland and Shrubland,SAF 222: Black Cottonwood-Willow,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,67,162,181,0.26274500000,0.63529400000,0.70980400000
7158,North Pacific Montane Riparian Woodland,7158,2158,Tr North Pacific Montane Riparian Woodland and Shrubland,Tree,635,Riparian,Western Riparian Woodland and Shrubland,SAF 222: Black Cottonwood-Willow,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,67,162,181,0.26274500000,0.63529400000,0.70980400000
9512,Northern Rocky Mountain Lower Montane Riparian Shrubland,9012,2159,Tr Rocky Mountain Montane Riparian Systems,Shrub,635,Riparian,Western Riparian Woodland and Shrubland,SAF 235: Cottonwood-Willow,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous shrubland,73,171,186,0.28627500000,0.67058800000,0.72941200000
9012,Northern Rocky Mountain Lower Montane Riparian Woodland,9012,2159,Tr Rocky Mountain Montane Riparian Systems,Tree,635,Riparian,Western Riparian Woodland and Shrubland,SAF 235: Cottonwood-Willow,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,73,171,186,0.28627500000,0.67058800000,0.72941200000
9519,Rocky Mountain Lower Montane-Foothill Riparian Shrubland,9019,2159,Tr Rocky Mountain Montane Riparian Systems,Shrub,635,Riparian,Western Riparian Woodland and Shrubland,SAF 235: Cottonwood-Willow,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous shrubland,73,171,186,0.28627500000,0.67058800000,0.72941200000
9019,Rocky Mountain Lower Montane-Foothill Riparian Woodland,9019,2159,Tr Rocky Mountain Montane Riparian Systems,Tree,635,Riparian,Western Riparian Woodland and Shrubland,SAF 235: Cottonwood-Willow,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,73,171,186,0.28627500000,0.67058800000,0.72941200000
9021,Rocky Mountain Subalpine-Montane Riparian Shrubland,9021,2160,Tr Rocky Mountain Subalpine/Upper Montane Riparian Systems,Shrub,635,Riparian,Western Riparian Woodland and Shrubland,SRM 422: Riparian,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,184,96,24,0.72156900000,0.37647100000,0.09411800000
9022,Rocky Mountain Subalpine-Montane Riparian Woodland,9022,2160,Tr Rocky Mountain Subalpine/Upper Montane Riparian Systems,Tree,635,Riparian,Western Riparian Woodland and Shrubland,SRM 422: Riparian,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,184,96,24,0.72156900000,0.37647100000,0.09411800000
7161,Northern Rocky Mountain Conifer Swamp,7161,2161,Tr Northern Rocky Mountain Conifer Swamp,Tree,639,Riparian,Spruce-Fir Forest and Woodland,SAF 227: Western Redcedar-Western Hemlock,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,4,45,117,0.01568600000,0.17647100000,0.45882400000
9014,Northwestern Great Plains Floodplain Forest and Woodland,9014,2162,Tr Western Great Plains Floodplain Systems,Tree,635,Riparian,Western Riparian Woodland and Shrubland,LF 42: Great Plains Riparian,Tree-dominated,Open tree canopy,Deciduous open tree canopy,6,53,122,0.02352900000,0.20784300000,0.47843100000
