site,date,day,trap,trap.type,indID,species,age,sex,breed,recap,weight,body.lgth,tail.lgth,comments,catnum
GRNSNO,2017-07-18,1,H6,L,182,PEMA,A,M,T,N,19,85,68,NA,NA
GRNSNO,2017-07-18,1,J3,S,348,PEMA,A,M,T,N,15,79,66,NA,NA
GRNSNO,2017-07-18,1,J4,L,332,PEMA,A,M,T,N,8,76,59,NA,NA
GRNSNO,2017-07-18,1,J5,S,327,PEMA,A,F,P,N,23,77,71,NA,NA
GRNSNO,2017-07-18,1,J10,L,281,PEMA,S,F,N,N,14,72,62,NA,NA
GRNSNO,2017-07-18,1,I7,L,388,PEMA,A,M,T,N,18,74,70,NA,NA
GRNSNO,2017-07-18,1,I4,S,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNSNO,2017-07-18,1,I2,S,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNSNO,2017-07-18,1,H1,S,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNSNO,2017-07-18,1,H3,S,489,PEMA,A,F,P,N,10,71,66,NA,NA
GRNSNO,2017-07-19,2,J1,S,332,PEMA,A,M,T,Y,18,75,60,NA,NA
GRNSNO,2017-07-19,2,J3,S,348,PEMA,A,M,T,Y,15,78,66,NA,NA
GRNSNO,2017-07-19,2,J4,L,327,PEMA,A,F,P,Y,22,83,75,NA,NA
GRNSNO,2017-07-19,2,J7,S,182,PEMA,A,M,T,Y,19,78,68,NA,NA
GRNSNO,2017-07-19,2,J10,L,281,PEMA,A,F,N,Y,13,67,64,NA,NA
GRNSNO,2017-07-19,2,I4,S,388,PEMA,A,M,T,Y,17,78,69,NA,NA
GRNSNO,2017-07-19,2,H1,S,184,PEMA,A,M,T,N,16,80,65,NA,NA
GRNSNO,2017-07-19,2,H3,S,011,PEMA,A,M,T,Y,15,76,73,NA,NA
GRNSNO,2017-07-19,2,H6,L,197,PEMA,A,F,P,Y,20,82,66,fat but doesn't seem pregnant,NA
GRNSNO,2017-07-19,2,H10,L,CLIP-8,SOTR,A,NA,NA,N,5,NA,49,NA,NA
GRNSNO,2017-07-19,2,G9,L,191,PEMA,A,M,T,Y,19,78,67,NA,NA
GRNSNO,2017-07-19,2,A3,L,391,PEMA,A,M,N,N,10,73,69,NA,NA
GRNSNO,2017-07-19,2,B2,L,CLIP-9,SOTR,A,F,NA,N,4,NA,52,butt clipped,NA
GRNSNO,2017-07-19,2,C6,S,KING-025,SOTR,NA,NA,NA,N,NA,NA,NA,dead,KING-025
GRNSNO,2017-07-19,2,C7,L,338,PEMA,A,M,N,N,15,69,65,NA,NA
GRNSNO,2017-07-19,2,E1,L,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNSNO,2017-07-19,2,E5,L,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNSNO,2017-07-19,2,G4,S,489,PEMA,A,F,P,Y,17,74,68,NA,NA
GRNSNO,2017-07-19,2,G5,L,296,PEMA,A,M,T,N,15,77,67,NA,NA
GRNSNO,2017-07-20,3,B3,S,391,PEMA,A,M,N,Y,14,70,68,NA,NA
