site,severity,date,trap,indID,species,binomial,binomial_short,family,age,recap,weight,comments
HIDODD,high,2017-07-26,B1,128,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,25,NA
HIDODD,high,2017-07-26,A4,375,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,20,NA
HIDODD,high,2017-07-26,F1,351,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,Y,12,NA
HIDODD,high,2017-07-26,D10,471,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,22,NA
HIDODD,high,2017-07-26,A2,274,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,16,NA
HIDODD,high,2017-07-26,G10,463,NESE,Neotamias senex,N. senex,Sciuridae,A,Y,71,white spot behind ears; same as yesterday
HIDODD,high,2017-07-26,D7,459,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,N,12,NA
HISHRU,high,2017-08-09,A8,820,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,16,NA
HISHRU,high,2017-08-09,E8,720,NEQU,Neotamias quadrimaculatus,N. quadrimaculatus,Sciuridae,S,N,62,NA
HISHRU,high,2017-08-09,E9,819,NEAM,Neotamias amoenus,N. amoenus,Sciuridae,S,Y,60,CHANGE ID OF PREVOUS CAPTURE
HISQUE,high,2017-08-02,A1,195,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,18,NA
HISQUE,high,2017-08-02,I10,208,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,21,NA
HITEDD,high,2017-07-19,B10,340,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,24,NA
HITEDD,high,2017-07-19,C1,450,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,N,20,NA
HITEDD,high,2017-07-19,E10,KING-023,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,NA,dead
HITEDD,high,2017-07-19,F2,207,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,15,NA
HITEDD,high,2017-07-19,F8,225,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,26,NA
HIWALK,high,2017-07-12,H10,401,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,28,NA
HIWALK,high,2017-07-12,A5,105,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,17,NA
HIWALK,high,2017-07-12,C8,106,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,16,early pregnancy
HIWALK,high,2017-07-12,D1,178,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,23,NA
MIXBUS,mod,2017-07-26,E1,349,NEQU,Neotamias quadrimaculatus,N. quadrimaculatus,Sciuridae,A,N,56,NA
MIXBUS,mod,2017-07-26,F3,226,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,N,12,NA
MIXBUS,mod,2017-07-26,J6,288,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,N,4,tagged right ear; very small
MIXBUS,mod,2017-07-26,F2,389,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,18,NA
MIXBUT,mod,2017-06-28,G2,055071,OTBE,Otospermophilus beecheyi,O. beecheyi,Cricetidae,A,N,510,NA
MIXDP2,mod,2017-08-02,A8,319,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,19,NA
MIXDP2,mod,2017-08-02,I10,KING-072,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,S,N,NA,dead; double check at camp
MIXMID,mod,2017-08-24,I9,831,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,N,13,NA
MIXMIX,mod,2017-07-12,C10,390,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,18,NA
MIXMIX,mod,2017-07-12,J7,384,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,17,NA
MIXMOR,mod,2017-08-16,A10,287,OTBE,Otospermophilus beecheyi,O. beecheyi,Cricetidae,A,N,268,NA
MIXMOR,mod,2017-08-16,H9,310,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,23,NA
MIXMOR,mod,2017-08-16,I7,101,OTBE,Otospermophilus beecheyi,O. beecheyi,Cricetidae,S,N,254,NA
MIXMOR,mod,2017-08-16,B5,414,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,N,14,NA
MIXMOR,mod,2017-08-16,F2,706,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,19,NA
MIXMOR,mod,2017-08-16,G10,245,PEBO,Peromyscus boylii,P. boylii,Cricetidae,A,Y,18,NA
MIXMOR,mod,2017-08-16,J3,032,NESE,Neotamias senex,N. senex,Sciuridae,A,Y,75,NA
MIXRAV,mod,2017-07-05,B1,148,NEQU,Neotamias quadrimaculatus,N. quadrimaculatus,Sciuridae,A,N,92,NA
MIXRAV,mod,2017-07-05,G8,002,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,19,NA
MIXRAV,mod,2017-07-05,A4,048,NEQU,Neotamias quadrimaculatus,N. quadrimaculatus,Sciuridae,A,N,82,NA
MIXRAV,mod,2017-07-05,C4,024,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,12,NA
MIXRIV,mod,2017-07-19,B9,260,OTBE,Otospermophilus beecheyi,O. beecheyi,Cricetidae,A,N,430,got away while tagging; 260 is a bad tag; escaped
GRNDAM,unb,2017-08-29,A4,CLIP-1,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,A,N,5,NA
GRNDAM,unb,2017-08-29,A6,CLIP-2,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,A,N,5,appeared to be in shock after release; but recovered quickly
GRNHOU,unb,2017-07-25,J6,CLIP-4,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,A,N,5.5,NA
GRNHOU,unb,2017-07-25,H6,103,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,16,aggressive
GRNHOU,unb,2017-07-25,G10,116,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,14,escaped after ear tag
GRNHOU,unb,2017-07-25,G1,124,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,13,NA
GRNHOU,unb,2017-07-25,F2,CLIP-5,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,A,N,5,NA
GRNHOU,unb,2017-07-25,C3,KING-073,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,A,N,NA,dead
GRNHOU,unb,2017-07-25,D10,010,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,N,13,NA
GRNKAN,unb,2017-08-01,A4,123,REME,Reithrodontomys megalotis,R. megalotis,Cricetidae,A,N,19,all brown
GRNKAN,unb,2017-08-01,C10,KING-095,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,A,N,NA,dead
GRNKAN,unb,2017-08-01,E9,KING-049,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,19,dead
GRNKAN,unb,2017-08-01,H10,284,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,15,NA
GRNKAN,unb,2017-08-01,J9,333,PEBO,Peromyscus boylii,P. boylii,Cricetidae,A,N,24,died during processing
GRNMAS,unb,2017-08-15,D6,KING-101,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,A,N,NA,dead
GRNMAS,unb,2017-08-15,F8,652,GLSA,Glaucomys sabrinus,G. sabrinus,Sciuridae,A,N,131,NA
GRNMAS,unb,2017-08-15,J4,810,OTBE,Otospermophilus beecheyi,O. beecheyi,Cricetidae,A,N,363,NA
