site,evc
MIXBUT,103.99999999999999
MIXBUT,103.99999999999999
MIXBUT,105
MIXBUT,103.99999999999999
MIXBUT,103
MIXBUT,105
MIXBUT,105
MIXBUT,103.99999999999999
MIXBUT,103.99999999999999
MIXBUT,103.99999999999999
MIXBUT,103.99999999999999
MIXBUT,103.99999999999999
MIXBUT,103.99999999999999
MIXBUT,105
MIXBUT,105
MIXBUT,105
MIXBUT,105
MIXBUT,105
MIXBUT,103.99999999999999
MIXBUT,103.99999999999999
MIXBUT,102
MIXBUT,102
MIXBUT,103.99999999999999
MIXBUT,103.99999999999999
MIXBUT,105
MIXBUT,106
MIXBUT,106
MIXBUT,103
MIXBUT,103
MIXBUT,103.99999999999999
MIXBUT,105
MIXBUT,105
MIXWAT,103
MIXWAT,102
MIXWAT,102
MIXWAT,103
MIXWAT,114.99999999999999
MIXWAT,114.99999999999999
MIXWAT,103.99999999999999
MIXWAT,103
MIXWAT,102
MIXWAT,103
MIXWAT,103.99999999999999
MIXWAT,103.99999999999999
MIXWAT,103
MIXWAT,103
MIXWAT,114.99999999999999
MIXWAT,114.99999999999999
MIXWAT,114.99999999999999
MIXWAT,114.99999999999999
MIXWAT,114.99999999999999
MIXWAT,114.99999999999999
MIXWAT,103.99999999999999
MIXWAT,105
MIXWAT,106
MIXWAT,105
MIXWAT,103.99999999999999
MIXWAT,105
MIXWAT,114.99999999999999
MIXWAT,114.99999999999999
MIXWAT,114.99999999999999
MIXWAT,114.99999999999999
MIXWAT,105
MIXWAT,114.99999999999999
MIXWAT,114.99999999999999
MIXWAT,105
MIXWAT,106
MIXWAT,106
MIXWAT,105
MIXWAT,105
MIXWAT,106
MIXWAT,103.99999999999999
MIXWAT,106
MIXWAT,106
MIXWAT,114.99999999999999
MIXWAT,114.99999999999999
MIXWAT,114.99999999999999
MIXWAT,106
MIXWAT,106
MIXWAT,114.99999999999999
MIXWAT,106
MIXWAT,106
MIXWAT,105
MIXWAT,105
MIXWAT,106
MIXWAT,106
MIXWAT,106
MIXWAT,103.99999999999999
MIXWAT,106
MIXWAT,106
MIXWAT,114.99999999999999
MIXWAT,114.99999999999999
MIXWAT,114.99999999999999
MIXWAT,106
MIXWAT,106
MIXWAT,106
