site,severity,date,day,trap,indID,species,binomial,binomial_short,common_name,family,age,recap,weight,comments
GRNMAS,unb,2017-08-16,2,G5,280,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,S,Y,17,NA
GRNMAS,unb,2017-08-16,2,G3,752,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,Y,15,NA
GRNMAS,unb,2017-08-16,2,B5,673,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,Y,19,NA
GRNMAS,unb,2017-08-17,3,C10,KING-096,SOTR,Sorex trowbridgii,S. trowbridgii,Trowbridge's shrew,Soricidae,A,N,6,died; possibly testicular (stinky)
GRNMAS,unb,2017-08-17,3,F8,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA
GRNMAS,unb,2017-08-17,3,I2,752,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,Y,17,NA
GRNMAS,unb,2017-08-17,3,H2,753,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,S,Y,17,NA
GRNMAS,unb,2017-08-17,3,G5,829,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,S,N,10,NA
GRNMAS,unb,2017-08-17,3,F5,280,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,S,Y,17,NA
GRNMAS,unb,2017-08-17,3,E3,662,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,S,Y,15,very still
GRNMAS,unb,2017-08-17,3,J1,KING-076,SOTR,Sorex trowbridgii,S. trowbridgii,Trowbridge's shrew,Soricidae,A,N,NA,kind of smelly
GRNMAS,unb,2017-08-17,3,B8,657,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,S,Y,15,NA
GRNMAS,unb,2017-08-17,3,B4,673,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,Y,18,NA
GRNMAS,unb,2017-08-17,3,D8,803,PEBO,Peromyscus boylii,P. boylii,Brush mouse,Cricetidae,A,Y,16,NA
GRNMAS,unb,2017-08-17,3,F10,755,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,S,N,13,NA
GRNMAS,unb,2017-08-17,3,E2,664,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,Y,18,NA
GRNQUA,unb,2017-08-08,1,J1,NA,MISS,NA,NA,NA,NA,NA,NA,NA,Trap half open; replaced
GRNQUA,unb,2017-08-08,1,J8,448,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,N,14,2 small holes in left ear; very large ears
GRNQUA,unb,2017-08-08,1,J10,169,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,N,20,NA
GRNQUA,unb,2017-08-08,1,I3,NA,MISS,NA,NA,NA,NA,NA,NA,NA,treadle stuck open
GRNQUA,unb,2017-08-08,1,H3,317,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,N,27,NA
GRNQUA,unb,2017-08-08,1,G1,243,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,N,18,NA
GRNQUA,unb,2017-08-08,1,D4,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA
